time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,roll_command,pitch_command,yaw_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250903_114327.686209,2.0170183181762695,0.11489979922771454,2.9531307220458984,-0.01701831817626953,0.8851001858711243,0.04686927795410156,0.25060197710990906,-178.7207489013672,179.47552490234375,-0.06265049427747726,-0.12596270442008972,-0.2339416891336441,56000,-0.056243132799863815,-0.011016140691936016,-0.05870342254638672,-0.012763738632202148,-0.004164588637650013,-0.21701335906982422,26553.005859375,438.6867980957031,-4039.469482421875
20250903_114327.696273,2.017056941986084,0.11844084411859512,2.9527478218078613,-0.017056941986083984,0.8815591335296631,0.04725217819213867,0.2788577377796173,-178.86399841308594,-179.8591766357422,-0.06971443444490433,-0.16746105253696442,-0.030753934755921364,56000,-0.056702613830566406,-0.01120438426733017,-0.09955406188964844,-0.012792706489562988,-0.004249776713550091,-0.01371145248413086,26446.775390625,445.7534484863281,-4249.25390625
20250903_114327.706454,2.0173754692077637,0.12243344634771347,2.9524855613708496,-0.017375469207763672,0.8775665760040283,0.04751443862915039,0.2537074089050293,-178.66668701171875,-179.9783477783203,-0.06342685222625732,-0.13659895956516266,-0.13044461607933044,56000,-0.05701732635498047,-0.011393916793167591,-0.06818771362304688,-0.013031601905822754,-0.0043358574621379375,-0.11307716369628906,26326.99609375,452.7899475097656,-4791.12255859375
20250903_114327.716693,2.0176424980163574,0.12651164829730988,2.952106237411499,-0.017642498016357422,0.8734883666038513,0.04789376258850098,0.20838993787765503,-179.0194854736328,-179.6255340576172,-0.05209748446941376,-0.167681485414505,-0.1124505028128624,56000,-0.05747251585125923,-0.011584733612835407,-0.09862422943115234,-0.013231873512268066,-0.004423402715474367,-0.09479522705078125,26204.650390625,459.7941589355469,-4893.84228515625
20250903_114327.725834,2.017996311187744,0.1312841922044754,2.9517250061035156,-0.01799631118774414,0.8687158226966858,0.048274993896484375,0.041757404804229736,-178.45663452148438,-179.15310668945312,-0.010439351201057434,-0.16882720589637756,-0.14361341297626495,56000,-0.05792999267578125,-0.01177707128226757,-0.0991201400756836,-0.013497233390808105,-0.004512499552220106,-0.12560367584228516,26061.474609375,466.7629699707031,-5727.052734375
20250903_114327.736585,2.0183017253875732,0.13573211431503296,2.9513442516326904,-0.018301725387573242,0.864267885684967,0.04865574836730957,0.004077126272022724,-178.8035125732422,-179.8001251220703,-0.001019281568005681,-0.16935399174690247,-0.1267515867948532,56000,-0.058386899530887604,-0.011970932595431805,-0.09899616241455078,-0.013726294040679932,-0.0046032448299229145,-0.10842204093933105,25928.037109375,473.6949157714844,-5337.50634765625
20250903_114327.746327,2.018603563308716,0.14048825204372406,2.9509575366973877,-0.01860356330871582,0.8595117330551147,0.049042463302612305,-0.03965592384338379,-178.8748779296875,-179.75335693359375,0.009913980960845947,-0.17156316339969635,-0.12580063939094543,56000,-0.058850955218076706,-0.012166328728199005,-0.10054588317871094,-0.013952672481536865,-0.004695507697761059,-0.10715246200561523,25785.3515625,480.59002685546875,-5707.365234375
20250903_114327.757155,2.0189435482025146,0.14589142799377441,2.9504640102386475,-0.01894354820251465,0.8541085720062256,0.04953598976135254,-0.032638367265462875,-178.6592559814453,-179.74267578125,0.008159591816365719,-0.20012354850769043,-0.13969168066978455,56000,-0.05944318696856499,-0.012363485991954803,-0.12831687927246094,-0.014207661151885986,-0.004789375700056553,-0.12069463729858398,25623.2578125,487.44451904296875,-6483.81103515625
20250903_114327.766411,2.0194168090820312,0.1512371450662613,2.950188398361206,-0.01941680908203125,0.8487628698348999,0.049811601638793945,-0.1139921247959137,-178.72723388671875,179.81231689453125,0.028498031198978424,-0.14399519562721252,-0.18745549023151398,56000,-0.059773921966552734,-0.012562180869281292,-0.07165908813476562,-0.014562606811523438,-0.0048852767795324326,-0.16800761222839355,25462.884765625,494.2560119628906,-6414.8603515625
20250903_114327.775900,2.019526720046997,0.15724951028823853,2.9497852325439453,-0.01952672004699707,0.8427504897117615,0.05021476745605469,-0.35991954803466797,-179.02569580078125,-179.78660583496094,0.08997988700866699,-0.17784306406974792,-0.0586460679769516,56000,-0.060257721692323685,-0.01276223361492157,-0.10482311248779297,-0.014645040035247803,-0.0049826353788375854,-0.03901839256286621,25282.515625,501.0220642089844,-7214.83837890625
20250903_114327.786500,2.0196919441223145,0.1633789986371994,2.949307918548584,-0.019691944122314453,0.8366209864616394,0.050692081451416016,-0.42340338230133057,-179.00857543945312,-179.8379364013672,0.10585084557533264,-0.19789618253707886,-0.07850418984889984,56000,-0.0608304962515831,-0.012964047491550446,-0.12410163879394531,-0.01476895809173584,-0.005080682225525379,-0.0586545467376709,25098.630859375,507.7395324707031,-7355.38623046875
20250903_114327.797115,2.0202462673187256,0.1693524718284607,2.9489145278930664,-0.020246267318725586,0.8306475281715393,0.051085472106933594,-0.3982187509536743,-179.30014038085938,179.5481719970703,0.09955468773841858,-0.1767517328262329,-0.21714995801448822,56000,-0.06130256503820419,-0.013167602941393852,-0.10228157043457031,-0.01518470048904419,-0.005180527456104755,-0.19678473472595215,24919.42578125,514.4086303710938,-7168.16796875
