time_s,roll_command,pitch_command,yaw_command,thrust_command
20250829_145234,-0.49640321731567383,-1.010746717453003,0.924571692943573,44998
20250829_145234,-0.486566424369812,-1.0062751770019531,0.9322208762168884,45125
20250829_145234,-0.5425885319709778,-1.0316107273101807,0.9180992245674133,44945
20250829_145234,-0.49675804376602173,-1.0490106344223022,0.9238302707672119,45003
20250829_145234,-0.5402961373329163,-1.0127819776535034,0.9366074800491333,45023
20250829_145234,-0.5485854744911194,-1.0528990030288696,0.9340189695358276,44846
20250829_145234,-0.5047407746315002,-1.0399577617645264,0.9375500082969666,44943
20250829_145234,-0.5151756405830383,-1.0422998666763306,0.9366814494132996,44833
20250829_145234,-0.5162182450294495,-1.0110602378845215,0.9236490726470947,45095
20250829_145234,-0.535971462726593,-1.038657784461975,0.9074734449386597,45047
20250829_145234,-0.4995838701725006,-1.0739482641220093,0.9179131984710693,44832
20250829_145234,-0.487894207239151,-1.0395240783691406,0.9218841195106506,45000
20250829_145234,-0.5343548059463501,-1.0703777074813843,0.9251325726509094,44893
20250829_145234,-0.5424007177352905,-1.0761407613754272,0.9125362038612366,44982
20250829_145234,-0.47775647044181824,-1.0444728136062622,0.8977907299995422,45012
20250829_145234,-0.4926891326904297,-1.0642104148864746,0.9024497866630554,45012
20250829_145234,-0.5189000368118286,-1.0787123441696167,0.8913347721099854,45020
20250829_145234,-0.5355616211891174,-1.053863525390625,0.8965243101119995,44772
20250829_145234,-0.5166849493980408,-1.0705125331878662,0.8884766697883606,44960
20250829_145234,-0.5085349678993225,-1.0673271417617798,0.8676449656486511,44944
20250829_145234,-0.49174758791923523,-1.0741130113601685,0.8513869643211365,45001
20250829_145234,-0.4882087707519531,-1.0659931898117065,0.8544427156448364,45046
20250829_145234,-0.5145320296287537,-1.0752761363983154,0.8645775318145752,45049
20250829_145234,-0.5167260766029358,-1.1013429164886475,0.8629895448684692,44907
20250829_145234,-0.4829508364200592,-1.095292568206787,0.8508931994438171,45000
20250829_145235,-0.5605296492576599,-1.1032092571258545,0.836544394493103,45042
20250829_145235,-0.5073016881942749,-1.123871088027954,0.8187229633331299,44803
20250829_145235,-0.4602012038230896,-1.0755085945129395,0.8173718452453613,45016
20250829_145235,-0.4885700047016144,-1.0819833278656006,0.8046942949295044,44983
20250829_145235,-0.5081725120544434,-1.0892829895019531,0.801055908203125,44874
20250829_145235,-0.4532703757286072,-1.1020772457122803,0.7924075722694397,45001
20250829_145235,-0.4993187189102173,-1.1043120622634888,0.780033528804779,44819
20250829_145235,-0.4850703477859497,-1.1400113105773926,0.7775009870529175,45003
20250829_145235,-0.4862506091594696,-1.1087087392807007,0.7614041566848755,45082
20250829_145235,-0.44224685430526733,-1.1033039093017578,0.7563591003417969,44965
20250829_145235,-0.4946161210536957,-1.1182947158813477,0.7461045384407043,44962
20250829_145235,-0.48590224981307983,-1.137826681137085,0.7324614524841309,44836
20250829_145235,-0.543133556842804,-1.1235800981521606,0.7189180254936218,44871
20250829_145235,-0.4618411958217621,-1.111543893814087,0.701880931854248,44926
20250829_145235,-0.4555153548717499,-1.1175163984298706,0.6995698809623718,44944
20250829_145235,-0.4652749300003052,-1.1284184455871582,0.6914483308792114,45050
